> XY_LONLAT
-20.630550 -6.306631
-20.561646 -6.313621
-20.493712 -6.217290
-20.359663 -6.221036
-20.299080 -6.128013
-20.157606 -6.128444
-20.089675 -6.030332
-19.823983 -6.031131
-19.756083 -5.941458
-19.417845 -5.942456
-19.351161 -5.852775
-18.950129 -5.852266
-18.882243 -5.762584
-18.208195 -5.761135
-18.143243 -5.856187
-18.074399 -5.854709
-18.009426 -5.943094
-17.671206 -5.950780
-17.473625 -5.673234
-17.404779 -5.670083
-17.370475 -5.714166
-17.373395 -5.905796
-17.335377 -5.948222
-17.069697 -5.952355
-17.004705 -6.038953
-16.933373 -6.042468
-16.770405 -6.276846
-16.771335 -6.644677
-16.733326 -6.693988
-16.668106 -6.694152
-16.603119 -6.787523
-16.330043 -6.781423
-16.267100 -6.691703
-16.195988 -6.788529
-15.794897 -6.786162
-15.727044 -6.696448
-15.658107 -6.693167
-15.626082 -6.650916
-15.628273 -6.554259
-15.561630 -6.462874
-15.556494 -6.369678
-15.493558 -6.276617
-15.489979 -5.813807
-15.561183 -5.722099
-15.554317 -5.440713
-15.625447 -5.354115
-15.587215 -5.308434
-15.524507 -5.308581
-15.457862 -5.210418
-15.322618 -5.212398
-15.217756 -5.071883
-15.222046 -4.799026
-15.048082 -4.568791
-14.709914 -4.569549
-14.614307 -4.705406
-14.620038 -5.075004
-14.582011 -5.119081
-14.510688 -5.122682
-14.445690 -5.217698
-14.312852 -5.214653
-14.279751 -5.263828
-14.277445 -5.353708
-14.148721 -5.542177
-14.386800 -5.863727
-14.453215 -5.860250
-14.485323 -5.909284
-14.483032 -6.004274
-14.617570 -6.187063
-14.620601 -6.465013
-14.417001 -6.741750
-14.417815 -7.116468
-14.281628 -7.298068
-14.282832 -7.857536
-14.184757 -7.996724
-13.848834 -7.997434
-13.782197 -7.904365
-13.646807 -7.901200
-13.580171 -7.806463
-13.510112 -7.811605
-13.342256 -7.581424
-13.344288 -6.747437
-13.306050 -6.694966
-13.210404 -6.840913
-13.208083 -6.930793
-13.174965 -6.979962
-13.106114 -6.980098
-13.043196 -6.881904
-12.834613 -7.165489
-12.771881 -7.162166
-12.642301 -6.984442
-12.572234 -6.981131
-12.505619 -6.884716
-12.370263 -6.888302
-12.301237 -6.793556
-12.232300 -6.790240
-12.200213 -6.746195
-12.196423 -6.658104
-12.235674 -6.608817
-12.305812 -6.608687
-12.369580 -6.522138
-12.573763 -6.511645
-12.636666 -6.608066
-12.769528 -6.609589
-12.905728 -6.421132
-13.108714 -6.419068
-13.173680 -6.332397
-13.307815 -6.328797
-13.478326 -6.096155
-13.472462 -5.630016
-13.543612 -5.538329
-13.545846 -5.448450
-13.575257 -5.404396
-13.641664 -5.399150
-13.676071 -5.354975
-13.672999 -5.077023
-13.574310 -4.941580
-13.504264 -4.938279
-13.276097 -4.618344
-13.267950 -4.252305
-13.169269 -4.110078
-13.100440 -4.106771
-13.038776 -4.017128
-12.967450 -4.013824
-12.900876 -3.925856
-12.765648 -3.922674
-12.699061 -3.826149
-12.564976 -3.829849
-12.499695 -3.740097
-12.434500 -3.738553
-12.364213 -3.642032
-12.161315 -3.645851
-12.093534 -3.550989
-12.024721 -3.552781
-11.992654 -3.510512
-11.997223 -3.318977
-11.928167 -3.229227
-11.923091 -3.139361
-11.893506 -3.086866
-11.759516 -3.090549
-11.690466 -3.000796
-11.620447 -3.000919
-11.552594 -2.902719
-11.221924 -2.903286
-11.154092 -2.813526
-11.092696 -2.813629
-11.017839 -2.906961
-10.886270 -2.910623
-10.750073 -3.092261
-10.684980 -3.099143
-10.613809 -3.185689
-10.551051 -3.192566
-10.417338 -3.374194
-10.145628 -3.374615
-10.079084 -3.278065
-10.016400 -3.281492
-9.879627 -3.096948
-9.809522 -3.093719
-9.609943 -2.819386
-9.205469 -2.816516
-9.135250 -2.728515
-9.037058 -2.864185
-9.037181 -2.954060
-8.939067 -3.091505
-7.528848 -3.096699
-7.361319 -2.866256
-7.363709 -2.769712
-6.787550 -1.987113
-6.722372 -1.983736
-6.654691 -1.894040
-6.451843 -1.897573
-6.386760 -1.990844
-6.321666 -1.990906
-6.250375 -2.082515
-6.117688 -2.082639
-5.813681 -1.664199
-5.816013 -1.567656
-5.914248 -1.428479
-6.189590 -1.435004
-6.254844 -1.524818
-6.352992 -1.389079
-6.354188 -1.292537
-6.317252 -1.246801
-6.247171 -1.246868
-6.184414 -1.153607
-5.917711 -1.157295
-5.851258 -1.067478
-5.781178 -1.065874
-5.712224 -0.969281
-5.643432 -0.966007
-5.611418 -0.923596
-5.615858 -0.364233
-5.441140 -0.140635
-5.174475 -0.140848
-5.109392 -0.235773
-5.040608 -0.232493
-4.910158 -0.047730
-4.838879 -0.044450
-4.803251 -0.002038
-4.805597 0.094505
-4.773671 0.140253
-4.704813 0.140204
-4.634682 0.233474
-4.572026 0.233430
-4.366641 0.511250
-4.306404 0.511210
-4.235078 0.599373
-4.165014 0.602662
-4.104803 0.692499
-4.033535 0.692456
-3.935124 0.834820
-3.936279 0.924584
-3.867454 1.019530
-3.862487 1.114401
-3.834195 1.161933
-3.699001 1.155080
-3.630180 1.253360
-3.090763 1.251309
-3.026953 1.154739
-2.891753 1.158011
-2.762833 0.969762
-2.692774 0.973178
-2.626459 0.876499
-2.556400 0.879915
-2.525737 0.834133
-2.523276 0.740813
-2.288727 0.420331
-2.218666 0.413531
-2.087213 0.235515
-1.751787 0.232085
-1.686659 0.138749
-1.552729 0.135384
-1.487595 0.047160
-1.080803 0.048858
-0.982529 0.182712
-0.982473 0.559099
-1.015645 0.601431
-1.078297 0.601441
-1.312898 0.925323
-1.320232 1.296491
-1.078131 1.623620
-1.015490 1.616834
-0.680005 2.083054
-0.609959 2.083047
-0.548521 2.172806
-0.478477 2.172801
-0.211893 2.538954
-0.140645 2.542396
0.062068 2.827130
0.259783 2.823802
0.328609 2.913570
0.663980 2.913595
0.733926 3.008588
0.796556 3.008595
0.827301 3.054370
0.829693 3.240787
0.797811 3.283221
0.726570 3.283213
0.695815 3.332313
0.697003 3.518841
0.865287 3.749382
1.131796 3.746089
1.200599 3.842643
2.140167 3.842880
2.204028 3.746359
3.146106 3.743296
3.212383 3.843313
3.277500 3.843344
3.344987 3.931587
3.612692 3.938505
3.685266 3.843559
3.747887 3.845371
3.884348 3.657256
4.149651 3.660749
4.219542 3.750669
4.282247 3.747376
4.312944 3.701625
4.317911 3.615086
4.356019 3.562563
4.489878 3.566096
4.656822 3.796733
4.652926 4.071356
4.686053 4.120594
4.753583 4.118865
4.857872 4.259697
4.855389 4.352904
4.887227 4.398698
5.021149 4.402242
5.088607 4.492058
5.222452 4.488830
5.289900 4.585536
5.353802 4.585587
5.557431 4.862047
5.826310 4.860612
5.892537 4.958989
6.161495 4.955790
6.225483 4.860975
7.236129 4.862001
7.301332 4.775530
7.573919 4.772503
7.636643 4.675923
7.707865 4.679449
7.773085 4.584539
7.906922 4.588142
7.976827 4.683100
8.039445 4.679843
8.110780 4.590054
8.377265 4.581943
8.441278 4.495481
8.710256 4.492496
8.781604 4.401049
8.844221 4.401132
8.915574 4.308019
9.378605 4.308658
9.449957 4.222217
9.915418 4.216120
9.986779 4.129796
10.315904 4.121857
10.387271 4.035536
10.656269 4.032519
10.720247 3.939414
11.128006 3.940086
11.193271 3.851987
11.662448 3.854574
11.727733 3.759703
12.064269 3.760307
12.136882 3.667231
12.333368 3.665927
12.404772 3.576185
12.873965 3.580413
13.004573 3.392584
13.073317 3.392719
13.138630 3.296196
13.476396 3.296874
13.541695 3.210576
14.144796 3.208392
14.181570 3.252575
14.181367 3.347449
14.247503 3.437467
14.244691 3.622211
14.282651 3.674841
14.345275 3.674976
14.374640 3.719145
14.380562 3.809033
14.412417 3.854873
14.477534 3.855015
14.512996 3.907641
14.512799 3.997516
14.548363 4.039921
14.613390 4.043508
14.679502 4.138529
14.752021 4.138690
14.811944 4.228700
14.883181 4.225415
14.950572 4.322220
15.147043 4.319333
15.351466 4.601207
15.486603 4.598077
15.546580 4.693204
15.617797 4.696704
15.715670 4.829139
15.720140 5.014012
15.654887 5.110399
15.652172 5.203712
15.684012 5.249558
15.752736 5.249721
15.815211 5.339635
15.883930 5.341577
15.953709 5.438286
16.085127 5.435271
16.154837 5.525206
16.288731 5.528977
16.348608 5.624111
16.686265 5.621509
16.754839 5.711558
16.893557 5.715243
16.955931 5.805278
17.560067 5.810185
17.624126 5.717146
17.890626 5.721304
17.962093 5.628289
18.097120 5.628657
18.161263 5.537290
18.231192 5.537482
18.296559 5.441009
18.430373 5.444713
18.501851 5.351703
18.564539 5.351879
18.636023 5.257204
18.701037 5.260720
18.772530 5.164270
19.369339 5.162654
19.436574 5.259504
19.507783 5.263046
19.537192 5.305571
19.541556 5.490335
19.610012 5.580303
19.607312 5.676948
19.676957 5.772140
19.674276 5.861897
19.736611 5.951959
19.740029 6.046956
19.875781 6.232113
19.875491 6.328765
19.907216 6.374631
19.969914 6.368043
20.038335 6.464792
20.242127 6.468855
20.309377 6.552160
20.505845 6.556099
20.574260 6.651297
20.708151 6.648270
20.775351 6.745134
21.181731 6.746421
21.244043 6.834719
21.314027 6.838388
21.376309 6.935242
21.510124 6.928898
21.577304 7.027436
21.648504 7.027668
21.715709 7.117653
21.779587 7.117863
21.846778 7.211405
21.917976 7.211640
21.977854 7.301603
22.050258 7.301844
22.112519 7.400371
22.250004 7.400832
22.381979 7.579362
22.450749 7.582928
22.580199 7.768120
22.651391 7.768363
22.780918 7.951893
22.920805 7.952375
22.988034 8.050928
23.984704 8.047686
24.053049 8.144587
24.194205 8.148545
24.256464 8.236872
24.325238 8.237124
24.394875 8.330589
24.591220 8.331316
24.658358 8.424886
25.261058 8.427157
25.463362 8.153303
25.597157 8.147042
25.734125 7.966154
25.796707 7.966397
25.868261 7.873467
25.933339 7.873721
26.003689 7.780677
26.137466 7.781203
26.202906 7.689919
26.336685 7.690449
26.408249 7.597525
26.604602 7.601755
26.674971 7.507051
26.808747 7.509258
26.939357 7.696317
27.074436 7.693424
27.445413 8.206992
27.442628 8.296746
27.573211 8.482152
27.570344 8.571906
27.639924 8.667183
27.642853 8.851948
27.809976 9.084838
27.875042 9.085112
27.940913 9.180376
28.272303 9.173340
28.340566 9.271952
28.473106 9.272520
28.541482 9.362580
28.611356 9.366326
28.679707 9.461498
28.876032 9.459018
28.945607 9.549198
29.009855 9.459603
29.144812 9.458529
29.216382 9.368968
29.278967 9.365800
29.347308 9.461090
29.409877 9.461368
29.547693 9.648401
29.610333 9.650458
29.679815 9.740535
29.748574 9.740843
29.816847 9.831027
30.616893 9.841455
30.686448 9.929988
30.817769 9.930598
30.886026 10.020682
30.951066 10.024430
31.018090 10.119619
31.755579 10.121449
31.819812 10.025104
31.952320 10.029186
32.026440 9.934557
32.291510 9.932511
32.356989 9.846398
32.426433 9.936504
32.628913 9.939276
32.698432 10.029385
32.760996 10.029694
32.829272 10.126686
32.899144 10.128700
32.958846 10.218874
33.095066 10.219553
33.160876 10.309760
33.295791 10.313770
33.433488 10.499328
33.494824 10.502971
33.564325 10.593200
33.695632 10.593867
33.765129 10.684099
34.095122 10.685790
34.164587 10.781025
34.704436 10.783833
34.771424 10.874061
35.305155 10.876886
35.367185 10.975538
35.500897 10.976254
35.569159 11.066498
35.835392 11.064490
35.902335 11.159840
36.107289 11.159177
36.176639 11.254544
36.637978 11.257081
36.707428 11.347343
36.841114 11.351419
36.908039 11.446780
37.041780 11.440750
37.109960 11.541119
37.244904 11.535100
37.310607 11.632125
37.444325 11.629436
37.544193 11.768984
37.542368 11.863962
